PS C:\Users\abigo\Downloads> python trofeo_sniffer.py --live --filter 1

 ╔══════════════════════════════════════════════════╗
 ║  Trofeo LCD USB Protocol Analyzer               ║
 ║  github.com/Abigor-DIY/Open-Trofeo-LCD          ║
 ╚══════════════════════════════════════════════════╝

 USBPcapCMD: C:\Program Files\USBPcap\USBPcapCMD.exe
 Device:     \\.\USBPcap1
 Temp file:  C:\Users\abigo\AppData\Local\Temp\trofeo_live_19808.pcap
 Press Ctrl+C to stop capture and show summary.

 ✓ USBPcapCMD running (PID 24136)
 ✓ Capture started — interact with TRCC now!
     Change themes, load images, wait a few seconds between actions.
     Press Ctrl+C when done.

   Capturing... 289.1 MB

 Stopping capture...
 Analyzing capture (289.1 MB)...

      2.936s   FRAME  #48   1920×462 322,320B/320,861B 79ch buf=0(!=1) b9=0x87 37ms (15.8 FPS)
      2.999s   FRAME  #49   1920×462 330,480B/320,716B 81ch buf=0(!=2) b9=0x87 37ms (15.9 FPS)
      3.060s   FRAME  #50   1920×462 297,840B/320,581B 73ch buf=0 b9=0x87 36ms (16.4 FPS)
      3.123s   FRAME  #51   1920×462 214,192B/322,012B 53ch buf=0(!=1) b9=0x8a 37ms (15.9 FPS)
      3.166s   FRAME  #52   1920×462 332,512B/322,018B 82ch buf=0(!=2) b9=0x8a 37ms (23.2 FPS)
      3.227s   FRAME  #53   1920×462 324,352B/321,954B 80ch buf=0 b9=0x8a 37ms (16.4 FPS)
      3.290s   FRAME  #54   1920×462 332,512B/322,353B 82ch buf=0(!=1) b9=0x8a 37ms (15.9 FPS)
      3.353s   FRAME  #55   1920×462 340,672B/330,120B 84ch buf=0(!=2) b9=0x9a 38ms (15.9 FPS)
      3.415s   FRAME  #56   1920×462 312,112B/330,347B 77ch buf=0 b9=0x9b 37ms (16.1 FPS)
      3.477s   FRAME  #57   1920×462 338,640B/329,207B 83ch buf=0(!=1) b9=0x98 37ms (16.1 FPS)
      3.539s   FRAME  #58   1920×462 312,112B/326,714B 77ch buf=0(!=2) b9=0x93 38ms (16.1 FPS)
      3.603s   FRAME  #59   1920×462 338,640B/327,615B 83ch buf=0 b9=0x95 37ms (15.6 FPS)
      3.665s   FRAME  #60   1920×462 338,640B/328,363B 83ch buf=0(!=1) b9=0x97 37ms (16.2 FPS)
      3.727s   FRAME  #61   1920×462 289,680B/325,338B 71ch buf=0(!=2) b9=0x90 37ms (16.1 FPS)
      3.789s   FRAME  #62   1920×462 336,592B/325,376B 83ch buf=0 b9=0x91 37ms (16.2 FPS)
      3.851s   FRAME  #63   1920×462 332,512B/326,618B 82ch buf=0(!=1) b9=0x93 37ms (16.1 FPS)
      3.914s   FRAME  #64   1920×462 334,560B/324,970B 82ch buf=0(!=2) b9=0x90 37ms (15.9 FPS)
      3.977s   FRAME  #65   1920×462 336,592B/327,179B 83ch buf=0 b9=0x94 38ms (15.8 FPS)
      4.039s   FRAME  #66   1920×462 316,192B/326,196B 78ch buf=0(!=1) b9=0x92 38ms (16.1 FPS)
      4.101s   FRAME  #67   1920×462 336,592B/327,264B 83ch buf=0(!=2) b9=0x94 37ms (16.1 FPS)
      4.165s   FRAME  #68   1920×462 324,352B/327,154B 80ch buf=0 b9=0x94 38ms (15.6 FPS)
      4.227s   FRAME  #69   1920×462 334,560B/324,841B 82ch buf=0(!=1) b9=0x8f 37ms (16.1 FPS)
      4.289s   FRAME  #70   1920×462 332,512B/326,360B 82ch buf=0(!=2) b9=0x92 38ms (16.1 FPS)
      4.351s   FRAME  #71   1920×462 263,152B/327,309B 65ch buf=0 b9=0x94 37ms (16.1 FPS)
      4.415s   FRAME  #72   1920×462 336,592B/325,425B 83ch buf=0(!=1) b9=0x91 37ms (15.8 FPS)
      4.476s   FRAME  #73   1920×462 299,872B/325,387B 74ch buf=0(!=2) b9=0x91 38ms (16.3 FPS)
      4.538s   FRAME  #74   1920×462 334,560B/324,830B 82ch buf=0 b9=0x8f 36ms (16.1 FPS)
      4.602s   FRAME  #75   1920×462 295,792B/326,248B 73ch buf=0(!=1) b9=0x92 37ms (15.6 FPS)
      4.663s   FRAME  #76   1920×462 326,400B/327,373B 80ch buf=0(!=2) b9=0x95 37ms (16.4 FPS)
      4.727s   FRAME  #77   1920×462 201,952B/326,128B 50ch buf=0 b9=0x92 38ms (15.6 FPS)
      4.789s   FRAME  #78   1920×462 334,560B/325,247B 82ch buf=0(!=1) b9=0x90 37ms (16.1 FPS)
      4.852s   FRAME  #79   1920×462 250,912B/326,919B 62ch buf=0(!=2) b9=0x94 38ms (15.9 FPS)
      4.914s   FRAME  #80   1920×462 336,592B/327,088B 83ch buf=0 b9=0x94 37ms (16.1 FPS)
      4.977s   FRAME  #81   1920×462 336,592B/326,284B 83ch buf=0(!=1) b9=0x92 37ms (15.9 FPS)
      5.038s   FRAME  #82   1920×462 308,032B/326,386B 76ch buf=0(!=2) b9=0x93 37ms (16.4 FPS)
      5.101s   FRAME  #83   1920×462 336,592B/327,060B 83ch buf=0 b9=0x94 37ms (15.8 FPS)
      5.163s   FRAME  #84   1920×462 338,640B/327,985B 83ch buf=0(!=1) b9=0x96 37ms (16.2 FPS)
      5.225s   FRAME  #85   1920×462 336,592B/326,893B 83ch buf=0(!=2) b9=0x94 36ms (16.1 FPS)
      5.288s   FRAME  #86   1920×462 336,592B/326,862B 83ch buf=0 b9=0x93 38ms (15.9 FPS)
